iter	Passed	Remaining
623	36474	21978
624	36529	21917
625	36581	21855
626	36639	21796
627	36701	21740
628	36759	21681
629	36816	21622
630	36863	21557
631	36908	21491
632	36970	21434
633	37023	21373
634	37079	21313
635	37141	21256
636	37187	21191
637	37229	21124
638	37279	21061
639	37333	20999
640	37388	20939
641	37445	20880
642	37495	20817
643	37557	20761
644	37604	20697
645	37669	20642
646	37718	20578
647	37784	20525
648	37831	20460
649	37878	20396
650	37927	20332
651	37983	20273
652	38036	20212
653	38080	20146
654	38141	20089
655	38206	20034
656	38271	19980
657	38323	19919
658	38378	19858
659	38436	19800
660	38491	19740
661	38553	19684
662	38607	19624
663	38658	19562
664	38725	19508
665	38788	19452
666	38845	19393
667	38893	19330
668	38951	19271
669	39002	19210
670	39052	19147
671	39100	19084
672	39147	19021
673	39198	18959
674	39249	18897
675	39303	18837
676	39350	18774
677	39398	18711
678	39460	18655
679	39524	18599
680	39568	18534
681	39622	18475
682	39682	18417
683	39724	18352
684	39781	18293
685	39831	18231
686	39899	18178
687	39963	18122
688	40026	18067
689	40083	18008
690	40125	17943
691	40174	17881
692	40226	17820
693	40278	17759
694	40328	17698
695	40393	17643
696	40461	17589
697	40516	17529
698	40577	17473
699	40625	17411
700	40690	17356
701	40740	17294
702	40795	17235
703	40853	17176
704	40906	17116
705	40965	17059
706	41025	17001
707	41085	16945
708	41149	16889
709	41190	16824
710	41245	16765
711	41294	16703
712	41344	16642
713	41406	16585
714	41467	16529
715	41531	16473
716	41588	16414
717	41640	16354
718	41690	16293
719	41754	16237
720	41820	16183
721	41886	16128
722	41939	16068
723	41992	16008
724	42043	15947
725	42092	15886
726	42159	15831
727	42223	15775
728	42281	15717
729	42342	15660
730	42403	15604
731	42455	15543
732	42499	15480
733	42556	15422
734	42614	15364
735	42664	15303
736	42723	15245
737	42772	15184
738	42836	15128
739	42880	15066
740	42944	15010
741	43008	14954
742	43056	14893
743	43115	14835
744	43163	14774
745	43221	14716
746	43275	14657
747	43332	14598
748	43388	14540
749	43449	14483
750	43492	14420
751	43549	14362
752	43607	14304
753	43663	14245
754	43727	14189
755	43779	14129
756	43831	14070
757	43883	14010
758	43940	13952
759	44003	13895
760	44047	13833
761	44093	13771
762	44142	13711
763	44194	13651
764	44278	13601
765	44343	13546
766	44394	13486
767	44458	13430
768	44510	13370
769	44574	13314
770	44624	13254
771	44685	13197
772	44743	13139
773	44799	13081
774	44855	13022
775	44911	12964
776	44975	12907
777	45027	12848
778	45069	12785
779	45121	12726
780	45181	12669
781	45241	12612
782	45287	12550
783	45328	12488
784	45376	12427
785	45421	12366
786	45478	12308
787	45525	12247
788	45575	12188
789	45634	12130
790	45681	12070
791	45731	12010
792	45793	11953
793	45855	11897
794	45909	11838
795	45964	11779
796	46026	11723
797	46095	11668
798	46159	11611
799	46208	11552
800	46267	11494
801	46324	11436
802	46374	11376
803	46438	11320
804	46487	11261
805	46539	11201
806	46590	11142
807	46640	11082
808	46694	11024
809	46749	10966
810	46805	10907
811	46864	10850
812	46925	10793
813	46974	10733
814	47032	10676
815	47083	10616
816	47134	10557
817	47192	10500
818	47246	10441
819	47313	10385
820	47373	10328
821	47419	10268
822	47480	10211
823	47534	10152
824	47586	10094
825	47647	10037
826	47706	9979
827	47757	9920
828	47800	9859
829	47846	9799
830	47901	9741
831	47960	9684
832	48014	9625
833	48062	9566
834	48119	9508
835	48167	9449
836	48223	9391
837	48284	9334
838	48339	9276
839	48401	9219
840	48451	9160
841	48506	9102
842	48552	9042
843	48604	8983
844	48663	8926
845	48725	8869
846	48788	8813
847	48841	8754
848	48891	8695
849	48941	8636
850	49004	8580
851	49052	8520
852	49102	8462
853	49166	8405
854	49225	8348
855	49274	8289
856	49334	8231
857	49396	8175
858	49458	8118
859	49513	8060
860	49562	8001
861	49613	7942
862	49669	7885
863	49716	7825
864	49762	7766
865	49823	7709
866	49869	7650
867	49913	7590
868	49966	7532
869	50032	7476
870	50078	7416
871	50138	7359
872	50186	7300
873	50234	7242
874	50287	7183
875	50341	7125
876	50402	7068
877	50458	7011
878	50505	6952
879	50560	6894
880	50623	6837
881	50675	6779
882	50727	6721
883	50773	6662
884	50827	6604
885	50878	6546
886	50930	6488
887	50984	6430
888	51035	6372
889	51103	6316
890	51168	6259
891	51216	6201
892	51273	6143
893	51332	6086
894	51391	6029
895	51452	5972
896	51514	5915
897	51559	5856
898	51606	5797
899	51654	5739
900	51711	5681
901	51773	5625
902	51829	5567
903	51879	5509
904	51933	5451
905	51988	5393
906	52046	5336
907	52087	5277
908	52141	5219
909	52200	5162
910	52260	5105
911	52311	5047
912	52367	4990
913	52428	4933
914	52480	4875
915	52537	4817
916	52597	4760
917	52653	4703
918	52714	4646
919	52762	4588
